id,created_at,updated_at,name,slug,section_id
clymkl5gz000ady2ktr1f4p5j,2024-07-15 05:54:40.499,2024-07-15 05:54:57.268,3W Clinic,3w-clinic,clymkgldh0000dy2kur7s9uaq
clyml13dw000ddy2ko4m2xa19,2024-07-15 06:07:04.29,2024-07-15 06:07:16.497,AHC,ahc,clymkgldh0000dy2kur7s9uaq
clyml1n48000edy2kuvw7v5y4,2024-07-15 06:07:29.864,2024-07-15 06:07:56.568,Beauty of Joseon,beauty-of-joseon,clymkgldh0000dy2kur7s9uaq
clyml2n8b000fdy2kwjxagsda,2024-07-15 06:08:16.664,2024-07-15 06:08:29.121,BeauuGreen,beauugreen,clymkgldh0000dy2kur7s9uaq
clyml2zkf000gdy2k4tcq3hc9,2024-07-15 06:08:32.653,2024-07-15 06:08:49.395,Biodance,biodance,clymkgldh0000dy2kur7s9uaq
clyml4s89000hdy2kuybz6i6q,2024-07-15 06:09:56.454,2024-07-15 06:10:09.825,Boomshop,boomshop,clymkgldh0000dy2kur7s9uaq
clyml555s000idy2kil007qyy,2024-07-15 06:10:13.214,2024-07-15 06:10:27.176,Bueno,bueno,clymkgldh0000dy2kur7s9uaq
clyml5j0m000jdy2khl0aigff,2024-07-15 06:10:31.172,2024-07-15 06:10:43.675,Ciracle,ciracle,clymkgldh0000dy2kur7s9uaq
clyml5u75000kdy2kfgl9u21y,2024-07-15 06:10:45.666,2024-07-15 06:10:58.79,CKD,ckd,clymkgldh0000dy2kur7s9uaq
clyml6dp5000ldy2kdbzu2k5l,2024-07-15 06:11:10.938,2024-07-15 06:11:50.43,Cos De BAHA,cos-de-baha,clymkgldh0000dy2kur7s9uaq
clyml8dv6000mdy2k9mne4xzz,2024-07-15 06:12:44.463,2024-07-15 06:12:49.662,COSRX,cosrx,clymkgldh0000dy2kur7s9uaq
clyml8ruc000ndy2kwlhv7a83,2024-07-15 06:13:02.577,2024-07-15 06:13:09.94,CP-1,cp-1,clymkgldh0000dy2kur7s9uaq
clyml921a000ody2kkzixgngi,2024-07-15 06:13:15.79,2024-07-15 06:13:32.283,Deoproce,deoproce,clymkgldh0000dy2kur7s9uaq
clyml9nuf000pdy2k0ibco6at,2024-07-15 06:13:44.055,2024-07-15 06:14:00.741,Derma:B,dermab,clymkgldh0000dy2kur7s9uaq
clymla2y6000qdy2kklrf148s,2024-07-15 06:14:03.63,2024-07-15 06:14:18.097,Dr Jart+,dr-jart,clymkgldh0000dy2kur7s9uaq
clymlafy6000rdy2kqwi3fd1e,2024-07-15 06:14:20.479,2024-07-15 06:14:35.928,Dr.Althea,dralthea,clymkgldh0000dy2kur7s9uaq
clymlb1xw000sdy2kz6buz561,2024-07-15 06:14:48.98,2024-07-15 06:14:53.469,Elizavecca,elizavecca,clymkgldh0000dy2kur7s9uaq
clymlbcxd000tdy2ko1bojidr,2024-07-15 06:15:03.217,2024-07-15 06:15:21.668,Enough,enough,clymkgldh0000dy2kur7s9uaq
