id,created_at,updated_at,credit_card_number,study_form,faculty,specialty,profile,course,funding_source,user_id,academic_debt,education_level,group_id
clyrkczm10007tl6obn29g2mv,2024-07-18 17:47:10.538,2024-07-18 17:47:10.538,23/864,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyrkczlk0006tl6ob2lnc7ey,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysjuvwb0001tl5c7qzy8qxl,2024-07-19 10:20:52.091,2024-07-19 10:20:52.091,23/937,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysjuvvx0000tl5c3dsm2u0d,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysjw8wn0003tl5cmyq5p4ph,2024-07-19 10:21:55.607,2024-07-19 10:21:55.607,23/88,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,targeted_training,clysjw8wl0002tl5cyls6rq1u,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysjy7l90005tl5cpmhwk1wa,2024-07-19 10:23:27.214,2024-07-19 10:23:27.214,23/863,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysjy7l50004tl5cme86hy0e,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysjz3hs0007tl5c3gxtts91,2024-07-19 10:24:08.56,2024-07-19 10:24:08.56,23/910,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysjz3hq0006tl5c7a6tger9,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk0l9q000btl5cffmcpuzm,2024-07-19 10:25:18.254,2024-07-19 10:25:18.254,23/51,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk0l9n000atl5c1h9a6es0,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysjzs3g0009tl5coupl0uz7,2024-07-19 10:24:40.445,2024-07-19 10:24:40.445,23/860,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysjzs330008tl5clsm245yj,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk1c2b000etl5ce4mnyskf,2024-07-19 10:25:52.98,2024-07-19 10:25:52.98,23/893,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk1c2a000dtl5cs5l0o8r6,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk25e6000gtl5ck03otmaw,2024-07-19 10:26:30.991,2024-07-19 10:26:30.991,23/895,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk25e2000ftl5cpq4ho5xx,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk2rqq000itl5codm92uwi,2024-07-19 10:26:59.955,2024-07-19 10:26:59.955,23/107,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,targeted_training,clysk2rqo000htl5c04s5wqam,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk39jp000ktl5culay5jem,2024-07-19 10:27:23.029,2024-07-19 10:27:23.029,23/859,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk39jn000jtl5cbp83q32i,0,bachelor,clywrfotj0000tlfgu2i0r53b
clz8fqbzu0001tln0a7esqx6h,2024-07-30 13:09:40.027,2024-07-30 13:09:40.027,23/284,full_time,,,,1,budget,clz8fqbzj0000tln0yguiwdi7,0,bachelor,
clysk5bg0000otl5cgqovh4b7,2024-07-19 10:28:58.8,2024-07-19 10:28:58.8,23/868,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk5bfy000ntl5cas6c27i9,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk6t7q000qtl5ctpaktshd,2024-07-19 10:30:08.487,2024-07-19 10:30:08.487,23/928,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk6t7o000ptl5c0fvzjmcb,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk7n8x000stl5cx75vvnja,2024-07-19 10:30:47.409,2024-07-19 10:30:47.409,23/898,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk7n8t000rtl5ckvhlqgj5,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk8ckp000utl5c72zugvm7,2024-07-19 10:31:20.234,2024-07-19 10:31:20.234,23/89,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,targeted_training,clysk8ckn000ttl5cynchzk2k,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk95jz000wtl5ca8hfqjo8,2024-07-19 10:31:57.791,2024-07-19 10:31:57.791,23/923,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk95jx000vtl5cij0pxgvt,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyska9lm000ytl5c4t7rq91w,2024-07-19 10:32:49.69,2024-07-19 10:32:49.69,23/92,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,targeted_training,clyska9lj000xtl5c4bisfe7x,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskasrv0010tl5cy5xmxq56,2024-07-19 10:33:14.54,2024-07-19 10:33:14.54,23/927,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskasru000ztl5cirby64mg,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskbw750012tl5coo513txu,2024-07-19 10:34:05.634,2024-07-19 10:34:05.634,23/812,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,paid,clyskbw730011tl5c6xlez071,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskcctg0014tl5cfd96upi7,2024-07-19 10:34:27.172,2024-07-19 10:34:27.172,23/915,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskcctf0013tl5cpy7iht4y,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskdc3z0018tl5cqq0rs35m,2024-07-19 10:35:12.912,2024-07-19 10:35:12.912,23/896,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskdc3y0017tl5cl9p0klcq,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskfb8d001gtl5cedq1u7de,2024-07-19 10:36:45.086,2024-07-19 10:36:45.086,23/892,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskfb8c001ftl5cm5mmh7r9,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskfsvq001itl5cv7hxfrku,2024-07-19 10:37:07.958,2024-07-19 10:37:07.958,23/912,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskfsvo001htl5cxd42jebv,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskg7ju001ktl5ci39t15ci,2024-07-19 10:37:26.97,2024-07-19 10:37:26.97,23/930,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskg7jr001jtl5cp1sezb01,0,bachelor,clywrfotj0000tlfgu2i0r53b
clysk3w3n000mtl5cp8fq403r,2024-07-19 10:27:52.259,2024-07-19 10:27:52.259,23/865,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clysk3w3l000ltl5chtlxw2yn,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskcw430016tl5c946lwfo6,2024-07-19 10:34:52.179,2024-07-19 10:34:52.179,23/406,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,targeted_training,clyskcw410015tl5cv51zb2fo,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskdqf6001atl5cji6onkfs,2024-07-19 10:35:31.459,2024-07-19 10:35:31.459,23/867,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskdqf40019tl5caaa57dbz,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyske6iq001ctl5c7dn62oqu,2024-07-19 10:35:52.323,2024-07-19 10:35:52.323,23/931,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyske6ip001btl5cpquetz5h,0,bachelor,clywrfotj0000tlfgu2i0r53b
clyskeu7r001etl5ccba1me82,2024-07-19 10:36:23.031,2024-07-19 10:36:23.031,23/932,full_time,Информационные системы и технологии,Программная инженерия,Искусственный интеллект и предиктивная аналитика,2,budget,clyskeu7k001dtl5cud4ej9g6,0,bachelor,clywrfotj0000tlfgu2i0r53b
